mes_registro,periodo_registro,entidad_registro,municipio_registro,ubicacion_establecimiento,total_trabajadores,total_hombres,total_mujeres,total_no_especificado,actividad_economica,motivo_convenio,modalidad_contrato,clase_contrato,monto_pago,estatus_expediente
enero ,2025,Nuevo Leon ,Linares,GALEANA,1,1,0,0,Comercio al por menor de abarrotes y alimentos,Despido,con contrato,individual,30000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,0,1,0,Consultorios dentales,Despido_Pago de prestaciones_Derecho de antigüedad,con contrato,individual,50000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,MONTEMORELOS,1,1,0,0,Comercio al por menor de abarrotes y alimentos,Despido,con contrato,individual,140000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,Allende,1,0,1,0,Servicios de apoyo a los negocios,Despido,con contrato,individual,42000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,Allende,1,0,1,0,Servicios de apoyo a los negocios,Despido,con contrato,individual,5000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,0,1,0,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",Despido,con contrato,individual,20000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,MONTEMORELOS,1,0,1,0,Servicios de apoyo a los negocios,Despido,con contrato,individual,30000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,Allende,1,0,1,0,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",Despido,con contrato,individual,20000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,0,1,0,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",Despido,con contrato,individual,22000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,0,0,1,Recoleccion de residuos,Terminacion voluntaria de la relacion de trabajo,con contrato,individual,5000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,1,0,0,Otras construcciones de ingenieria civil,Despido,con contrato,individual,15000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,1,0,0,Servicios de apoyo a los negocios,Despido,con contrato,individual,28000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,1,0,0,Servicios combinados de apoyo en instalaciones,Despido,con contrato,individual,50000,con conciliacion 
enero ,2025,Nuevo Leon ,Linares,LINARES,1,1,0,0,Comercio al por menor de otros alimentos,Despido,con contrato,individual,16967.04,con conciliacion 
